NAME,LAT,LON
Sofia,42.69547224443809,23.32212642578653
Veliko Tarnovo,43.07704610549032,25.616642446812378
Burgas,42.514354639397865,27.46878660594481
Varna,43.232277153807026,27.8955218815763
Vratsa,43.21263825421991,23.55163130177987
Kustendil,42.285942956288984,22.696313764702687
Plovdi,42.14715424728143,24.7497985692219
Sliven,42.67570875306087,26.33982377404841
Haskovo,41.9348147101063,25.553807771765666
Pleven,43.410199216145756,24.615390999653286
Razgrad,43.5318145543322,26.52673886435151
Ruse,43.84239943569937,25.96562652187192
Kardzhali,41.62887516678883,25.373930553285785
Blagoevgrad,42.013016515151875,23.09336822949123
Dupnitsa,42.26274635100051,23.12071461462656
Stara Zagora,42.42533234300144,25.63069772136733
